略称,Year,Paper URL,Website URL,Challenge Tag,Sub-Challeng Tag,How to Solve,Training Type,Dataset,Evaluation
OTTER,2021,https://arxiv.org/pdf/2503.03734?,https://ottervla.github.io/,Multi-Modal Fusion and Physical World Representation     ,The GAP between Sematics Perception and Physical Interation,Introdues a text-aware feature extraction which preserves semantics aligned with task descriptions,BC,OXE; DS-PnP;DS-ALL,LIBERO;Real-Robot Evaluation
LIV,2023,https://proceedings.mlr.press/v202/ma23b/ma23b.pdf,https://penn-pal-lab.github.io/LIV/,Multi-Modal Fusion and Physical World Representation     ,The GAP between Sematics Perception and Physical Interation,Introdues a contrastive framework on robot-control data to construct a joint vision-language embedding space,RL,EPIC-KITCHENS-100;MetaWorld;FrankaKitchen;Self-built Data,FrankaKitchen;Self-built Data;MetaWorld;FrankaKitchen
ACT-LLM,2025,https://arxiv.org/pdf/2506.21250,https://github.com/jonyzhang2023/awesome-embodied-vla-va-vln,Multi-Modal Fusion and Physical World Representation     ,The GAP between Sematics Perception and Physical Interation,Formulates raw per- ceptual inputs into structured language representation,RL,CLIPORT,CLIPORT;VIMA-BENCH
Look-Leap,2023,https://arxiv.org/pdf/2311.17842,robot-vila.github.io,Multi-Modal Fusion and Physical World Representation     ,The GAP between Sematics Perception and Physical Interation,Structured action-plan generation from visual inputs,Predictive Modeling,Self-built Data,CLIPORT;Self-built Data
RT-2,2023,https://arxiv.org/abs/2307.15818,https://robotics-transformer.github.io/,Multi-Modal Fusion and Physical World Representation     ,The GAP between Sematics Perception and Physical Interation,Fine-tuning a pretrained VLM to directly output action tokens,BC,WebLI;Language-Table,Seen Tasks;Self-built Data
Prompt-a-Robot-to-Walk,2023,https://arxiv.org/abs/2309.09969,https://prompt2walk.github.io/,Multi-Modal Fusion and Physical World Representation     ,The GAP between Sematics Perception and Physical Interation,Fine-tuning a pretrained VLM to directly output action tokens,BC; Predictive Modeling,None,MuJoCo;Isaac Gym
Grounding MLLMs,2024,https://arxiv.org/pdf/2406.07904,https://github.com/mbzuai-oryx/groundingLMM,Multi-Modal Fusion and Physical World Representation     ,The GAP between Sematics Perception and Physical Interation,Fine-tuning a pretrained VLM to directly output action tokens,BC,CALVIN;Meta-World;Habitat Pick,CALVIN;Meta-World;Habitat Pick
OpenVLA,2024,https://arxiv.org/pdf/2406.09246,https://openvla.github.io/,Multi-Modal Fusion and Physical World Representation     ,The GAP between Sematics Perception and Physical Interation,Fine-tuning a pretrained VLM to directly output action tokens,BC,OXE,BridgeData V2;Google Robot
CLIP-RT,2024,https://arxiv.org/pdf/2411.00508,https://clip-rt.github.io,Multi-Modal Fusion and Physical World Representation     ,The GAP between Sematics Perception and Physical Interation,Extends CLIP-style vision-language alignment,BC,OXE,LIBERO
Humanoid-VLA,2025,https://arxiv.org/pdf/2502.14795,https://github.com/AllenXuuu/HumanVLA,Multi-Modal Fusion and Physical World Representation     ,The GAP between Sematics Perception and Physical Interation,Pre-training language-action,BC; Predictive Modeling; RL,Motion Capture;Online Videos;Synthetic Data,IsaacGym;T2M
