CO-RFT,2025,https://arxiv.org/pdf/2508.02219,https://github.com/cccedric/conrft,3,online Interatction and Reinforcement Learning, designs a chunked temporal difference learning mechanism that feeds entire action sequences into the critic to predict multi step returns ,RL ,CO-RFT,CO-RFT
VLM-RMs,2023,https://arxiv.org/pdf/2310.12921,https://github.com/AlignmentResearch/vlmrm,3,online Interatction and Reinforcement Learning,Infer rewards via perceptual alignment in shared embedding space,RL and Predictive Modeling,-,CartPole;MountainCar
RoboCLIP,2023,https://arxiv.org/pdf/2310.07899,https://sites.google.com/view/roboclip/home,3,online Interatction and Reinforcement Learning,Leverages video trajectories by computing video language similarity for sparse rewards ,BC and Predictive Modeling,HowTo100M,MetaWorld;Franka Kitchen
Affordance-Guided RL,2024,https://arxiv.org/pdf/2407.10341,https://sites.google.com/view/affordance-guided-rl,3,online Interatction and Reinforcement Learning,Convert VLM predicted grasp points and trajectories into dense rewards,BC and Predictive Modeling,Bridge Data,PyBullet Bin-Sorting Cloth Covering
RL VLM-F,2024,https://arxiv.org/pdf/2402.03681,https://rlvlmf2024.github.io/,3,online Interatction and Reinforcement Learning,Leverages GPT-4V to infer preference-based rewards from observation pairs without human labels,BC ,-,OpenAI Gym CartPole
GRAPE,2024,https://arxiv.org/pdf/2411.19309,https://grape-vla.github.io/,3,online Interatction and Reinforcement Learning,Leverages VLMs to decompose tasks and generate stage-wise preferences for multi-objective rewards,RL and Predictive Modeling,Real-world SFT dataset; Simpler-Env SFT;  LIBERO,Real-world 30 tasks
Eureka,2023,https://arxiv.org/pdf/2310.12931,https://eureka-research.github.io/,3,online Interatction and Reinforcement Learning, Prompt LLM with environment code and task specs to generate rewards,RL ,-,Isaac Gym
VIP,,https://arxiv.org/pdf/2210.00030,https://sites.google.com/view/vip-rl,3,online Interatction and Reinforcement Learning,Perform implicit value optimization from video,,Ego4D,FrankaKitchen
VLA-RL,2025,https://arxiv.org/pdf/2505.18719,https://github.com/GuanxingLu/vlarl,3,online Interatction and Reinforcement Learning,Finetune VLM into a structured process reward model,RL and Predictive Modeling,OpenVLA-7B; LIBERO,LIBERO
AutoRT,2025,https://arxiv.org/pdf/2401.12963,https://auto-rt.github.io/,4,Reliability and Safety Assurance,Leverages structured prompting to encode multi level constraints,BC,AutoRT,AutoRT
SafeVLA,2025,https://arxiv.org/pdf/2503.03480,https://pku-safevla.github.io/,4,Reliability and Safety Assurance,Leverages a cost function in a constrained MDP to model physically hazardous behaviors,RL ,CHORES,Safety-CHORES
Genimi Robotics,2025,https://arxiv.org/pdf/2503.20020,https://github.com/google-deepmind/gemini-robotics-sdk,4,Reliability and Safety Assurance,Leverages Constitutional AI post-training on safety data to enforce human-centric principles,RL / BC / Predicative modeling,ALOHA 2;Embodied Reasoning;VQA,ERQA
GPI,2025,https://arxiv.org/pdf/2508.11960,-,4,Reliability and Safety Assurance,Leverages confidence estimation probabilistic action generation and language guided backtracking to replan under uncertainty,RL and Predictive Modeling,-,VIMA-Bench;Ravens
RationalVLA,2025,https://arxiv.org/pdf/2506.10826,https://irpn-eai.github.io/RationalVLA/,4,Reliability and Safety Assurance,Uses a learnable refusal token to reject unsafe or invalid commands,BC and Predictive Modeling and RL,CALVIN A/B/C splits + RAMA,CALVIN ABC
Diffusion-VLA,2024,https://arxiv.org/pdf/2412.03293,https://diffusion-vla.github.io/,4,Interpretability and Trustworthy Interaction,Condition diffusion policy on natural language reasoning,Predictive Modeling and RL,Droid;OXE,eal-World Multi-Task Learning
ECoT,2024,https://arxiv.org/pdf/2407.08693,https://embodied-cot.github.io/,4,Interpretability and Trustworthy Interaction, Leverages editable step-by-step rationales that users can correct via language,BC,Bridge Data;RT-2-X,ECoT
CoT-VLA,2025,https://arxiv.org/pdf/2503.22020,https://cot-vla.github.io/,4,Interpretability and Trustworthy Interaction,Adds visual subgoal images to render intermediate plans observable,BC and Predictive Modeling,Jaco Play;Berkeley Autolab UR5;Berkeley Fanuc Manipulation,LIBERO
RT-H,2024,https://arxiv.org/pdf/2403.01823,https://rt-hierarchy.github.io/,4,Interpretability and Trustworthy Interaction,Leverages separated language–action generation to enable self-explanation and language-level intervention,BC,Kitchen,RT-H
